ProductID,Date,Zip,Units,Revenue,Country
1052,2018-03-24,13591,1,246.7,Germany
1052,2018-03-31,46045,1,246.7,Germany
1052,2018-04-28,22417,1,246.7,Germany
1052,2018-06-21,50968,1,246.7,Germany
1052,2018-08-15,52538,1,246.7,Germany
1052,2018-11-27,47906,1,246.7,Germany
1053,2011-03-15,13129,1,251.95,Germany
1053,2011-04-15,40215,1,251.95,Germany
1053,2011-04-15,45659,1,251.95,Germany
1053,2011-07-15,52428,1,251.95,Germany
1057,2015-08-25,20148,1,136.45,Germany
1057,2014-08-23,53879,1,136.45,Germany
1057,2015-02-28,46537,1,136.45,Germany
1057,2015-03-10,48432,1,136.45,Germany
1065,2011-05-15,40591,1,296.57,Germany
1065,2011-06-15,53229,1,296.57,Germany
1063,2011-03-15,10627,1,233.57,Germany
1065,2011-02-15,22763,1,296.57,Germany
1065,2011-02-15,51377,1,296.57,Germany
1065,2011-04-15,41516,1,296.57,Germany
1065,2011-05-15,45357,1,296.57,Germany
1053,2012-04-20,20251,1,251.95,Germany
1053,2012-06-01,48720,1,257.2,Germany
1053,2012-06-05,40215,1,257.2,Germany
1053,2013-04-18,46519,1,262.45,Germany
1053,2013-06-11,48607,1,262.45,Germany
1053,2013-12-26,52134,1,262.45,Germany
1053,2014-05-16,10245,1,262.45,Germany
1053,2014-07-24,40229,1,262.45,Germany
1053,2014-09-09,51145,1,262.45,Germany
1053,2014-09-11,53229,1,262.45,Germany
1053,2014-09-27,22087,1,262.45,Germany
1053,2015-04-11,53123,1,262.45,Germany
1065,2013-03-05,14059,1,304.45,Germany
1065,2013-08-24,14059,1,304.45,Germany
1065,2013-09-27,40593,1,304.45,Germany
1065,2014-04-16,45481,1,304.45,Germany
1065,2014-06-04,22391,1,304.45,Germany
1065,2015-03-21,53902,1,309.7,Germany
1065,2015-03-27,22045,1,309.7,Germany
1065,2015-04-21,40597,1,309.7,Germany
1065,2015-04-23,46483,1,309.7,Germany
1065,2015-06-04,21107,1,309.7,Germany
1065,2015-09-10,44577,1,304.45,Germany
1065,2015-10-14,45659,1,304.45,Germany
1085,2015-04-28,48493,1,89.2,Germany
1085,2018-11-30,12357,1,89.2,Germany
1065,2011-04-15,47179,1,296.57,Germany
1065,2011-05-15,20251,2,593.15,Germany
1065,2013-04-11,47506,1,304.45,Germany
1065,2013-06-05,10435,1,304.45,Germany
1065,2013-06-26,51377,1,304.45,Germany
1065,2013-06-29,40545,1,304.45,Germany
