ProductID,Date,Zip,Units,Revenue
1076,2012-01-20,72638,1,254.572500
1076,2012-01-21,47577,1,254.572500
1076,2012-01-28,34653,1,254.572500
1076,2012-01-31,84014,1,254.572500
1076,2012-02-01,75070,1,254.572500
1076,2012-02-01,87031,1,254.572500
1076,2012-02-03,72019,1,254.572500
1076,2012-02-03,72086,1,254.572500
1076,2012-02-03,77089,2,509.145000
1076,2012-02-09,07649,1,254.572500
1076,2012-02-11,79705,1,254.572500
1076,2012-02-14,92624,1,254.572500
1076,2012-02-22,08527,1,254.572500
1076,2012-02-22,08816,1,254.572500
1076,2012-02-23,24740,1,254.572500
1076,2012-02-24,63023,1,254.572500
1076,2012-02-25,32503,1,254.572500
1076,2012-02-25,93523,1,254.572500
1076,2012-02-25,93657,1,254.572500
1076,2012-02-28,54139,1,254.572500
1076,2012-02-28,64060,1,254.572500
1076,2012-02-28,83236,1,254.572500
1076,2012-02-28,92340,1,254.572500
1076,2012-03-01,82801,2,509.145000
1076,2012-03-01,91362,1,254.572500
1076,2012-03-03,53158,1,254.572500
1076,2012-03-03,92345,1,254.572500
1076,2012-03-06,55304,1,254.572500
1076,2012-03-09,36869,1,254.572500
1076,2012-03-15,78737,1,254.572500
1076,2012-03-16,58703,1,254.572500
1076,2012-03-22,57013,1,254.572500
1076,2012-03-22,87111,1,254.572500
1076,2012-03-24,73526,1,254.572500
1076,2012-03-27,26285,1,254.572500
1076,2012-03-28,02895,1,254.572500
1076,2012-03-29,08753,1,254.572500
1076,2012-03-30,42566,1,254.572500
1076,2012-03-30,54013,1,254.572500
1076,2012-03-31,71369,1,254.572500
1076,2012-04-03,77373,1,254.572500
1076,2012-04-04,35058,1,254.572500
1076,2012-04-04,73942,1,254.572500
1076,2012-04-04,79705,1,254.572500
1076,2012-04-06,55414,1,254.572500
1076,2012-04-06,57106,1,254.572500
1076,2012-04-06,66834,1,254.572500
1076,2012-04-10,65049,1,254.572500
1076,2012-04-10,89419,1,254.572500
1076,2012-04-13,97504,1,254.572500
1076,2012-04-17,65536,1,254.572500
1076,2012-04-19,21244,1,254.572500
1076,2012-04-19,89801,1,254.572500
1076,2012-04-24,05777,1,254.572500
1076,2012-04-24,34667,1,254.572500
1076,2012-04-24,56701,1,254.572500
1076,2012-04-27,69339,1,254.572500
1076,2012-05-01,68505,1,254.572500
1076,2012-05-02,07825,1,254.572500
1076,2012-05-02,70053,1,254.572500
1076,2012-05-04,25559,1,254.572500
1076,2012-05-05,33178,1,254.572500
1076,2012-05-09,94551,2,509.145000
1076,2012-05-10,50501,1,254.572500
1076,2012-05-12,38501,1,254.572500
1076,2012-05-15,67857,1,254.572500
1076,2012-05-16,63077,1,254.572500
1076,2012-05-19,02723,1,254.572500
1076,2012-05-19,99615,1,254.572500
1076,2012-05-23,91910,1,254.572500
1076,2012-05-24,77461,1,254.572500
1076,2012-05-26,41514,1,254.572500
1076,2012-05-30,54762,1,254.572500
1076,2012-05-30,75711,1,254.572500
1076,2012-05-30,85308,1,254.572500
1076,2012-05-31,85224,1,254.572500
1076,2012-06-06,26257,1,254.572500
1076,2012-06-06,41858,1,254.572500
1076,2012-06-06,97756,1,254.572500
1076,2012-06-07,78628,1,254.572500
1076,2012-06-08,21222,1,254.572500
1076,2012-06-14,20777,1,254.572500
1076,2012-06-14,32303,1,254.572500
1076,2012-06-14,66085,1,254.572500
1076,2012-06-16,07470,1,254.572500
1076,2012-06-16,21237,1,254.572500
1076,2012-06-20,21046,1,254.572500
1076,2012-06-21,06082,1,254.572500
1076,2012-06-28,01581,1,254.572500
1076,2012-06-29,93515,1,254.572500
1076,2012-07-05,55011,1,254.572500
1076,2012-07-06,21122,1,254.572500
1076,2012-07-07,21702,1,254.572500
1076,2012-07-11,35087,1,254.572500
1076,2012-07-12,72022,2,509.145000
1076,2012-07-31,32571,1,254.572500
1076,2012-08-03,75414,1,254.572500
1085,2017-12-02,76234,1,89.197500
